Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Approved_loan,incomelevel,status,is_owning,credit_bands
LP001310,Male,Yes,0,Graduate,No,3317724,4167.0,175.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001316,Male,Yes,0,Graduate,No,3317724,2900.0,131.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001318,Male,Yes,2,Graduate,No,3317724,5654.0,188.0,180.0,1.0,Semiurban,y,1,High,1,0,mid
LP001319,Male,Yes,2,Not Graduate,No,3317724,1820.0,81.0,360.0,1.0,Urban,y,1,low,1,0,mid
LP001322,Male,No,0,Graduate,No,3317724,0.0,122.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001325,Male,No,0,Not Graduate,No,3317724,0.0,25.0,120.0,1.0,Semiurban,y,1,low,1,0,mid
LP001326,Male,No,0,Graduate,Uknown,3317724,0.0,128.0,360.0,,Urban,n,0,low,1,0,High
LP001327,Female,Yes,0,Graduate,No,3317724,2302.0,137.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001333,Male,Yes,0,Graduate,No,3317724,997.0,50.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001334,Male,Yes,0,Not Graduate,No,3317724,0.0,115.0,180.0,1.0,Semiurban,y,1,low,1,0,mid
LP001343,Male,Yes,0,Graduate,No,3317724,3541.0,131.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001345,Male,Yes,2,Not Graduate,No,3317724,3263.0,133.0,180.0,1.0,Urban,y,1,low,1,0,mid
LP001349,Male,No,0,Graduate,No,3317724,3806.0,151.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001350,Male,Yes,Uknown,Graduate,No,3317724,0.0,128.0,360.0,1.0,Urban,y,1,low,1,0,mid
LP001356,Male,Yes,0,Graduate,No,3317724,3583.0,128.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001357,Male,Uknown,Uknown,Graduate,No,3317724,754.0,160.0,360.0,1.0,Urban,y,1,low,1,0,mid
LP001367,Male,Yes,1,Graduate,No,3317724,1030.0,100.0,360.0,1.0,Urban,y,1,low,1,0,mid
LP001369,Male,Yes,2,Graduate,No,3317724,1126.0,225.0,360.0,1.0,Urban,y,1,low,1,0,mid
LP001370,Male,No,0,Not Graduate,Uknown,3317724,0.0,120.0,360.0,1.0,Rural,n,0,low,1,0,mid
LP001379,Male,Yes,2,Graduate,No,3317724,3600.0,216.0,360.0,0.0,Urban,n,0,low,1,0,low
LP001384,Male,Yes,3+,Not Graduate,No,3317724,754.0,94.0,480.0,1.0,Semiurban,y,1,low,1,0,mid
LP001385,Male,No,0,Graduate,No,3317724,0.0,136.0,360.0,1.0,Urban,y,1,low,1,0,mid
LP001387,Female,Yes,0,Graduate,Uknown,3317724,2333.0,139.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001391,Male,Yes,0,Not Graduate,No,3317724,4114.0,152.0,360.0,0.0,Rural,n,0,low,1,0,low
LP001392,Female,No,1,Graduate,Yes,3317724,0.0,128.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001398,Male,No,0,Graduate,Uknown,3317724,0.0,118.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001401,Male,Yes,1,Graduate,No,3317724,0.0,185.0,180.0,1.0,Rural,y,1,low,1,0,mid
LP001404,Female,Yes,0,Graduate,No,3317724,2283.0,154.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001405,Male,Yes,1,Graduate,No,3317724,1398.0,85.0,360.0,,Urban,y,1,low,1,0,High
LP001421,Male,Yes,0,Graduate,No,3317724,2142.0,175.0,360.0,1.0,Rural,n,0,low,1,0,mid
LP001422,Female,No,0,Graduate,No,3317724,0.0,259.0,360.0,1.0,Urban,y,1,low,1,0,mid
LP001426,Male,Yes,Uknown,Graduate,No,3317724,2667.0,180.0,360.0,1.0,Rural,y,1,low,1,0,mid
LP001430,Female,No,0,Graduate,No,3317724,0.0,44.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001431,Female,No,0,Graduate,No,3317724,8980.0,137.0,360.0,0.0,Semiurban,y,1,High,1,0,low
LP001432,Male,Yes,2,Graduate,No,3317724,0.0,81.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001439,Male,Yes,0,Not Graduate,No,3317724,2014.0,194.0,360.0,1.0,Rural,y,1,low,1,0,mid
LP001443,Female,No,0,Graduate,No,3317724,0.0,93.0,360.0,,Rural,y,1,low,1,0,High
LP001448,Uknown,Yes,3+,Graduate,No,3317724,0.0,370.0,360.0,1.0,Rural,y,1,low,1,0,mid
LP001449,Male,No,0,Graduate,No,3317724,1640.0,128.0,360.0,1.0,Rural,y,1,low,1,0,mid
LP001451,Male,Yes,1,Graduate,Yes,3317724,3850.0,160.0,180.0,0.0,Urban,n,0,low,1,0,low
LP001465,Male,Yes,0,Graduate,No,3317724,2569.0,182.0,360.0,,Rural,n,0,low,1,0,High
LP001469,Male,No,0,Graduate,Yes,3317724,0.0,650.0,480.0,,Urban,y,1,low,1,0,High
LP001473,Male,No,0,Graduate,No,3317724,1929.0,74.0,360.0,1.0,Urban,y,1,low,1,0,mid
LP001478,Male,No,0,Graduate,No,3317724,0.0,70.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001482,Male,Yes,0,Graduate,Yes,3317724,0.0,25.0,120.0,1.0,Semiurban,y,1,low,1,0,mid
LP001487,Male,No,0,Graduate,No,3317724,0.0,102.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001488,Male,Yes,3+,Graduate,No,3317724,7750.0,290.0,360.0,1.0,Semiurban,n,0,High,1,0,mid
LP001489,Female,Yes,0,Graduate,No,3317724,0.0,84.0,360.0,1.0,Rural,n,0,low,1,0,mid
LP001491,Male,Yes,2,Graduate,Yes,3317724,3500.0,88.0,360.0,1.0,Urban,y,1,low,1,0,mid
LP001492,Male,No,0,Graduate,No,3317724,0.0,242.0,360.0,0.0,Semiurban,n,0,low,1,0,low
LP001493,Male,Yes,2,Not Graduate,No,3317724,1430.0,129.0,360.0,1.0,Rural,n,0,low,1,0,mid
LP001497,Male,Yes,2,Graduate,No,3317724,2083.0,185.0,360.0,1.0,Rural,n,0,low,1,0,mid
LP001498,Male,No,0,Graduate,No,3317724,0.0,168.0,360.0,1.0,Urban,y,1,low,1,0,mid
LP001504,Male,No,0,Graduate,Yes,3317724,0.0,175.0,180.0,1.0,Semiurban,y,1,low,1,0,mid
LP001507,Male,Yes,0,Graduate,No,3317724,2034.0,122.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001508,Male,Yes,2,Graduate,No,3317724,0.0,187.0,180.0,1.0,Urban,y,1,low,1,0,mid
LP001514,Female,Yes,0,Graduate,No,3317724,4486.0,100.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001516,Female,Yes,2,Graduate,No,3317724,0.0,70.0,360.0,1.0,Urban,y,1,low,1,0,mid
LP001518,Male,Yes,1,Graduate,No,3317724,1425.0,30.0,360.0,1.0,Urban,y,1,low,1,0,mid
LP001519,Female,No,0,Graduate,No,3317724,1666.0,225.0,360.0,1.0,Rural,n,0,low,1,0,mid
LP001520,Male,Yes,0,Graduate,No,3317724,830.0,125.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001528,Male,No,0,Graduate,No,3317724,0.0,118.0,360.0,0.0,Rural,n,0,low,1,0,low
LP001529,Male,Yes,0,Graduate,Yes,3317724,3750.0,152.0,360.0,1.0,Rural,y,1,low,1,0,mid
LP001531,Male,No,0,Graduate,No,3317724,0.0,244.0,360.0,1.0,Urban,n,0,low,1,0,mid
LP001532,Male,Yes,2,Not Graduate,No,3317724,0.0,113.0,360.0,1.0,Rural,n,0,low,1,0,mid
LP001535,Male,No,0,Graduate,No,3317724,0.0,50.0,360.0,1.0,Urban,y,1,low,1,0,mid
LP001536,Male,Yes,3+,Graduate,No,3317724,0.0,600.0,180.0,0.0,Semiurban,y,1,low,1,0,low
LP001541,Male,Yes,1,Graduate,No,3317724,0.0,160.0,360.0,,Rural,y,1,low,1,0,High
LP001543,Male,Yes,1,Graduate,No,3317724,0.0,187.0,360.0,1.0,Urban,y,1,low,1,0,mid
LP001546,Male,No,0,Graduate,Uknown,3317724,2083.0,120.0,360.0,1.0,Rural,y,1,low,1,0,mid
LP001552,Male,Yes,0,Graduate,No,3317724,5625.0,255.0,360.0,1.0,Semiurban,y,1,High,1,0,mid
LP001560,Male,Yes,0,Not Graduate,No,3317724,1041.0,98.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001562,Male,Yes,0,Graduate,No,3317724,0.0,275.0,360.0,1.0,Urban,n,0,low,1,0,mid
LP001565,Male,Yes,1,Graduate,No,3317724,1280.0,121.0,360.0,0.0,Semiurban,n,0,low,1,0,low
LP001570,Male,Yes,2,Graduate,No,3317724,1447.0,158.0,360.0,1.0,Rural,y,1,low,1,0,mid
LP001572,Male,Yes,0,Graduate,No,3317724,0.0,75.0,180.0,1.0,Urban,y,1,low,1,0,mid
LP001574,Male,Yes,0,Graduate,No,3317724,3166.0,182.0,360.0,1.0,Rural,y,1,low,1,0,mid
LP001577,Female,Yes,0,Graduate,No,3317724,0.0,112.0,360.0,1.0,Rural,n,0,low,1,0,mid
LP001578,Male,Yes,0,Graduate,No,3317724,3333.0,129.0,360.0,1.0,Rural,y,1,low,1,0,mid
LP001579,Male,No,0,Graduate,No,3317724,0.0,63.0,480.0,0.0,Semiurban,n,0,low,1,0,low
LP001580,Male,Yes,2,Graduate,No,3317724,0.0,200.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001581,Male,Yes,0,Not Graduate,Uknown,3317724,1769.0,95.0,360.0,1.0,Rural,y,1,low,1,0,mid
LP001585,Uknown,Yes,3+,Graduate,No,3317724,0.0,700.0,300.0,1.0,Urban,y,1,low,1,0,mid
LP001586,Male,Yes,3+,Not Graduate,No,3317724,0.0,81.0,180.0,1.0,Rural,n,0,low,1,0,mid
LP001594,Male,Yes,0,Graduate,No,3317724,5625.0,187.0,360.0,1.0,Semiurban,y,1,High,1,0,mid
LP001603,Male,Yes,0,Not Graduate,Yes,3317724,736.0,87.0,360.0,1.0,Semiurban,n,0,low,1,0,mid
LP001606,Male,Yes,0,Graduate,No,3317724,1964.0,116.0,360.0,1.0,Rural,y,1,low,1,0,mid
LP001608,Male,Yes,2,Graduate,No,3317724,1619.0,101.0,360.0,1.0,Rural,y,1,low,1,0,mid
LP001610,Male,Yes,3+,Graduate,No,3317724,11300.0,495.0,360.0,0.0,Semiurban,n,0,High,1,0,low
LP001616,Male,Yes,1,Graduate,No,3317724,0.0,116.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001630,Male,No,0,Not Graduate,No,3317724,1451.0,102.0,480.0,0.0,Urban,n,0,low,1,0,low
LP001633,Male,Yes,1,Graduate,No,3317724,7250.0,180.0,360.0,0.0,Urban,n,0,High,1,0,low
LP001634,Male,No,0,Graduate,No,3317724,5063.0,67.0,360.0,,Rural,n,0,High,1,0,High
LP001636,Male,Yes,0,Graduate,No,3317724,0.0,73.0,180.0,1.0,Semiurban,y,1,low,1,0,mid
LP001637,Male,Yes,1,Graduate,No,3317724,0.0,260.0,360.0,1.0,Semiurban,n,0,low,1,0,mid
LP001639,Female,Yes,0,Graduate,No,3317724,0.0,108.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001640,Male,Yes,0,Graduate,Yes,3317724,4750.0,120.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001641,Male,Yes,1,Graduate,Yes,3317724,0.0,66.0,300.0,0.0,Rural,n,0,low,1,0,low
LP001643,Male,Yes,0,Graduate,No,3317724,2138.0,58.0,360.0,,Rural,y,1,low,1,0,High
LP001644,Uknown,Yes,0,Graduate,Yes,3317724,5296.0,168.0,360.0,1.0,Rural,y,1,High,1,0,mid
LP001647,Male,Yes,0,Graduate,No,3317724,0.0,188.0,180.0,1.0,Rural,y,1,low,1,0,mid
LP001653,Male,No,0,Not Graduate,No,3317724,0.0,48.0,360.0,1.0,Rural,y,1,low,1,0,mid
LP001656,Male,No,0,Graduate,No,3317724,0.0,164.0,360.0,1.0,Semiurban,n,0,low,1,0,mid
LP001657,Male,Yes,0,Not Graduate,No,3317724,0.0,160.0,360.0,1.0,Urban,n,0,low,1,0,mid
LP001658,Male,No,0,Graduate,No,3317724,0.0,76.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001664,Male,No,0,Graduate,No,3317724,0.0,120.0,360.0,1.0,Rural,y,1,low,1,0,mid
LP001665,Male,Yes,1,Graduate,No,3317724,2583.0,170.0,360.0,1.0,Semiurban,n,0,low,1,0,mid
LP001666,Male,No,0,Graduate,No,3317724,3750.0,187.0,360.0,1.0,Rural,y,1,low,1,0,mid
LP001669,Female,No,0,Not Graduate,No,3317724,2365.0,120.0,360.0,1.0,Urban,y,1,low,1,0,mid
LP001671,Female,Yes,0,Graduate,No,3317724,2816.0,113.0,360.0,,Semiurban,y,1,low,1,0,High
LP001673,Male,No,0,Graduate,Yes,3317724,0.0,83.0,360.0,1.0,Urban,n,0,low,1,0,mid
LP001674,Male,Yes,1,Not Graduate,No,3317724,2500.0,90.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001677,Male,No,2,Graduate,No,3317724,0.0,166.0,360.0,0.0,Semiurban,y,1,low,1,0,low
LP001682,Male,Yes,3+,Not Graduate,No,3317724,0.0,128.0,180.0,1.0,Urban,n,0,low,1,0,mid
LP001688,Male,Yes,1,Not Graduate,No,3317724,1083.0,135.0,360.0,1.0,Urban,y,1,low,1,0,mid
LP001691,Male,Yes,2,Not Graduate,No,3317724,0.0,124.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001692,Female,No,0,Not Graduate,No,3317724,0.0,120.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001693,Female,No,0,Graduate,No,3317724,0.0,80.0,360.0,1.0,Urban,y,1,low,1,0,mid
LP001698,Male,No,0,Not Graduate,No,3317724,2531.0,55.0,360.0,1.0,Rural,y,1,low,1,0,mid
LP001699,Male,No,0,Graduate,No,3317724,0.0,59.0,360.0,1.0,Urban,y,1,low,1,0,mid
LP001702,Male,No,0,Graduate,No,3317724,0.0,127.0,360.0,1.0,Semiurban,n,0,low,1,0,mid
LP001708,Female,No,0,Graduate,No,3317724,0.0,214.0,360.0,1.0,Semiurban,n,0,low,1,0,mid
LP001711,Male,Yes,3+,Graduate,No,3317724,1250.0,128.0,360.0,0.0,Semiurban,n,0,low,1,0,low
LP001713,Male,Yes,1,Graduate,Yes,3317724,0.0,240.0,360.0,1.0,Urban,y,1,low,1,0,mid
LP001715,Male,Yes,3+,Not Graduate,Yes,3317724,0.0,130.0,360.0,1.0,Rural,y,1,low,1,0,mid
LP001716,Male,Yes,0,Graduate,No,3317724,3021.0,137.0,360.0,1.0,Urban,y,1,low,1,0,mid
LP001720,Male,Yes,3+,Not Graduate,No,3317724,983.0,100.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001722,Male,Yes,0,Graduate,No,3317724,1800.0,135.0,360.0,1.0,Rural,n,0,low,1,0,mid
LP001726,Male,Yes,0,Graduate,No,3317724,1775.0,131.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001732,Male,Yes,2,Graduate,Uknown,3317724,0.0,72.0,360.0,0.0,Semiurban,n,0,low,1,0,low
LP001734,Female,Yes,2,Graduate,No,3317724,2383.0,127.0,360.0,,Semiurban,y,1,low,1,0,High
LP001736,Male,Yes,0,Graduate,No,3317724,0.0,60.0,360.0,0.0,Urban,n,0,low,1,0,low
LP001743,Male,Yes,2,Graduate,No,3317724,1717.0,116.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001744,Male,No,0,Graduate,No,3317724,2791.0,144.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001749,Male,Yes,0,Graduate,No,3317724,1010.0,175.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001750,Male,Yes,0,Graduate,No,3317724,0.0,128.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001751,Male,Yes,0,Graduate,No,3317724,0.0,170.0,360.0,1.0,Rural,n,0,low,1,0,mid
LP001754,Male,Yes,Uknown,Not Graduate,Yes,3317724,0.0,138.0,360.0,1.0,Urban,n,0,low,1,0,mid
LP001758,Male,Yes,2,Graduate,No,3317724,1695.0,210.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001760,Male,Uknown,Uknown,Graduate,No,3317724,0.0,158.0,480.0,1.0,Semiurban,y,1,low,1,0,mid
LP001761,Male,No,0,Graduate,Yes,3317724,0.0,200.0,360.0,1.0,Rural,y,1,low,1,0,mid
LP001765,Male,Yes,1,Graduate,No,3317724,2054.0,104.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001768,Male,Yes,0,Graduate,Uknown,3317724,0.0,42.0,180.0,1.0,Rural,y,1,low,1,0,mid
